PID,Brand_x,Name_x,Category_x,Subcategory_x,Price_x,min_stock_x,current_stock_x
SNGL1571,Dragon Alliance,Aviator,Sunglasses,Women,7009,5,0
SNGL1600,Lanvin Paris,Aviator,Sunglasses,Women,1314,5,0
SNGL1631,Dunhill,Aviator,Sunglasses,Women,6725,5,0
SNGL1634,Chloe,Aviator,Sunglasses,Women,3639,5,0
SNGL1641,DieselDior,Aviator,Sunglasses,Women,7866,5,0
SNGL1692,Lanvin Paris,Aviator,Sunglasses,Women,8465,5,0
SNGL1701,Ray-Ban,Aviator,Sunglasses,Women,10881,5,0
SNGL1710,Lanvin Paris,Aviator,Sunglasses,Women,6885,5,0
SNGL1713,Chopard,Aviator,Sunglasses,Women,2621,5,0
SNGL1742,Carrera,Aviator,Sunglasses,Women,9034,5,0
SNGL1744,Dragon Alliance,Aviator,Sunglasses,Women,9406,5,0
SNGL1752,Celine,Aviator,Sunglasses,Women,6572,5,0
SNGL1796,Chopard,Aviator,Sunglasses,Women,2588,5,0
SNGL1797,Homme,Aviator,Sunglasses,Women,7513,5,0
SNGL1814,Ray-Ban,Aviator,Sunglasses,Women,4471,5,0
SNGL1830,Chopard,Aviator,Sunglasses,Women,2906,5,0
SNGL1877,Lanvin Paris,Aviator,Sunglasses,Women,7158,5,0
SNGL1893,DKNY,Aviator,Sunglasses,Women,8372,5,0
SNGL1908,Ray-Ban,Aviator,Sunglasses,Women,3218,5,0
SNGL1933,DKNY,Aviator,Sunglasses,Women,6883,5,0
SNGL1937,Dolce & Gabbana,Aviator,Sunglasses,Women,10266,5,0
SNGL1987,Chloe,Aviator,Sunglasses,Women,8158,5,0
SNGL2027,Carrera,Aviator,Sunglasses,Women,3842,5,0
SNGL2032,Carrera,Aviator,Sunglasses,Women,5053,5,0
SNGL2044,Chloe,Aviator,Sunglasses,Women,10239,5,0
SNGL2067,Little Marc Jacobs,Aviator,Sunglasses,Women,1616,5,0
SNGL2083,Dunhill,Aviator,Sunglasses,Women,6142,5,0
SNGL2132,Christian Dior,Aviator,Sunglasses,Women,9452,5,0
SNGL2133,Ray-Ban,Aviator,Sunglasses,Women,8474,5,0
SNGL2143,Christian Dior,Aviator,Sunglasses,Women,9775,5,0
SNGL2210,Ray-Ban Junior,Aviator,Sunglasses,Women,10356,5,0
SNGL2219,DieselDior,Aviator,Sunglasses,Women,4015,5,0
SNGL2227,Ray-Ban Junior,Aviator,Sunglasses,Women,4658,5,0
SNGL2245,Ray-Ban Junior,Aviator,Sunglasses,Women,2697,5,0
SNGL2254,Dragon Alliance,Aviator,Sunglasses,Women,2764,5,0
SNGL2268,Christian Dior,Aviator,Sunglasses,Women,2033,5,0
SNGL2292,Chloe,Aviator,Sunglasses,Women,6736,5,0
SNGL2310,Emporio Armani,Aviator,Sunglasses,Women,5545,5,0
SNGL2313,Little Marc Jacobs,Aviator,Sunglasses,Women,8892,5,0
SNGL2328,Ray-Ban,Aviator,Sunglasses,Women,9036,5,0
SNGL2348,Chopard,Aviator,Sunglasses,Women,4293,5,0
SNGL2364,Chopard,Aviator,Sunglasses,Women,5255,5,0
SNGL2375,Emporio Armani,Aviator,Sunglasses,Women,8584,5,0
SNGL2422,Dragon Alliance,Aviator,Sunglasses,Women,1632,5,0
SNGL2424,DKNY,Aviator,Sunglasses,Women,5302,5,0
SNGL2466,Ray-Ban Junior,Aviator,Sunglasses,Women,6342,5,0
SNGL2479,Dragon Alliance,Aviator,Sunglasses,Women,9082,5,0
SNGL2492,Homme,Aviator,Sunglasses,Women,1251,5,0
SNGL2499,DieselDior,Aviator,Sunglasses,Women,10708,5,0
SNGL2500,Carrera,Aviator,Sunglasses,Women,10782,5,0
SNGL2560,Ray-Ban,Aviator,Sunglasses,Women,4865,5,0
SNGL2571,Christian Dior,Aviator,Sunglasses,Women,8892,5,0
SNGL2578,Chloe,Aviator,Sunglasses,Women,10330,5,0
SNGL2591,Christian Dior,Aviator,Sunglasses,Women,8317,5,0
SNGL2603,Dragon Alliance,Aviator,Sunglasses,Women,5331,5,0
SNGL2623,Chloe,Aviator,Sunglasses,Women,3060,5,0
SNGL2637,Little Marc Jacobs,Aviator,Sunglasses,Women,4869,5,0
SNGL2640,Carrera,Aviator,Sunglasses,Women,8547,5,0
SNGL2664,Ray-Ban Junior,Aviator,Sunglasses,Women,9171,5,0
SNGL2667,Dragon Alliance,Aviator,Sunglasses,Women,1446,5,0
SNGL2671,Homme,Aviator,Sunglasses,Women,3273,5,0
SNGL2676,Dragon Alliance,Aviator,Sunglasses,Women,4240,5,0
SNGL2702,Little Marc Jacobs,Aviator,Sunglasses,Women,3684,5,0
SNGL2723,DKNY,Aviator,Sunglasses,Women,8394,5,0
SNGL2731,Chloe,Aviator,Sunglasses,Women,3039,5,0
SNGL2741,Ray-Ban,Aviator,Sunglasses,Women,2318,5,0
SNGL2749,Emporio Armani,Aviator,Sunglasses,Women,7446,5,0
SNGL2752,Carrera,Aviator,Sunglasses,Women,7989,5,0
SNGL2773,Little Marc Jacobs,Aviator,Sunglasses,Women,6595,5,0
SNGL2787,Carrera,Aviator,Sunglasses,Women,1374,5,0
SNGL2793,London Retro,Aviator,Sunglasses,Women,2419,5,0
SNGL2807,Lanvin Paris,Aviator,Sunglasses,Women,10948,5,0
SNGL2822,Ray-Ban,Aviator,Sunglasses,Women,1626,5,0
SNGL2849,Emporio Armani,Aviator,Sunglasses,Women,7990,5,0
SNGL2851,DieselDior,Aviator,Sunglasses,Women,8708,5,0
SNGL2854,Ray-Ban Junior,Aviator,Sunglasses,Women,5670,5,0
SNGL2863,Chloe,Aviator,Sunglasses,Women,7564,5,0
SNGL2865,Dolce & Gabbana,Aviator,Sunglasses,Women,10474,5,0
SNGL2913,Lanvin Paris,Aviator,Sunglasses,Women,8279,5,0
SNGL2914,Carrera,Aviator,Sunglasses,Women,3034,5,0
SNGL2944,Dragon Alliance,Aviator,Sunglasses,Women,1595,5,0
SNGL2947,DieselDior,Aviator,Sunglasses,Women,2973,5,0
SNGL2959,Christian Dior,Aviator,Sunglasses,Women,6288,5,0
SNGL2963,Chopard,Aviator,Sunglasses,Women,8224,5,0
SNGL2991,Lanvin Paris,Aviator,Sunglasses,Women,4414,5,0
